Address,PropertyUse,XCoord,YCoord,K12_est,K-12_by_point
4316 Melody Ln Unit 203,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4316 Melody Ln Unit 202,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4316 Melody Ln Unit 201,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4314 Melody Ln Unit 108,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4314 Melody Ln Unit 107,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4320 Melody Ln Unit 107,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4320 Melody Ln Unit 108,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4322 Melody Ln Unit 109,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4322 Melody Ln Unit 110,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
2442 Independence Ln Unit P9,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P8,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P7,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P6,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P5,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P4,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P3,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P2,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2442 Independence Ln Unit P1,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P10,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P9,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
