"GEO_ID","NAME","P012001","P012002","P012003","P012004","P012005","P012006","P012007","P012008","P012009","P012010","P012011","P012012","P012013","P012014","P012015","P012016","P012017","P012018","P012019","P012020","P012021","P012022","P012023","P012024","P012025","P012026","P012027","P012028","P012029","P012030","P012031","P012032","P012033","P012034","P012035","P012036","P012037","P012038","P012039","P012040","P012041","P012042","P012043","P012044","P012045","P012046","P012047","P012048","P012049"
"id","Geographic Area Name","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over"
"1000000US550250001002014","Block 2014, Block Group 2, Census Tract 1, Dane County, Wisconsin","38","16","1","2","1","0","1","0","0","1","1","1","3","0","2","2","1","0","0","0","0","0","0","0","0","22","3","0","1","0","0","0","0","2","6","1","7","0","1","1","0","0","0","0","0","0","0","0","0"
"1000000US550250001002015","Block 2015, Block Group 2, Census Tract 1, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250001002016","Block 2016, Block Group 2, Census Tract 1, Dane County, Wisconsin","129","57","3","3","1","1","1","0","2","7","18","8","4","1","3","0","4","0","0","0","0","0","1","0","0","72","3","6","5","1","0","1","0","5","18","11","4","5","5","4","1","0","0","0","1","1","1","0","0"
"1000000US550250001002017","Block 2017, Block Group 2, Census Tract 1, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250001002018","Block 2018, Block Group 2, Census Tract 1, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250001002019","Block 2019, Block Group 2, Census Tract 1, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250001002020","Block 2020, Block Group 2, Census Tract 1, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250002011000","Block 1000, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250002011001","Block 1001, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","103","50","3","5","3","1","0","0","0","1","7","3","2","6","3","1","3","0","3","3","2","2","0","2","0","53","0","5","3","1","0","0","0","0","7","5","4","3","2","5","6","1","2","1","5","2","0","1","0"
"1000000US550250002011002","Block 1002, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","126","61","2","0","2","1","0","0","1","8","8","9","3","4","6","6","6","0","1","1","0","0","1","1","1","65","2","3","2","2","0","2","1","7","11","5","4","5","1","5","2","2","1","1","1","2","4","1","1"
"1000000US550250002011003","Block 1003, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","18","10","1","0","0","2","0","0","0","0","1","2","0","3","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","0","0","0","0","0","3","1","0","1","0","1","1","0","0","0","0","1","0","0","0"
"1000000US550250002011004","Block 1004, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","33","13","2","0","0","1","0","0","0","0","2","0","2","1","2","0","1","0","0","0","0","0","0","2","0","20","2","1","3","0","0","0","0","0","1","2","1","3","1","2","0","0","1","0","1","0","0","2","0"
"1000000US550250002011005","Block 1005, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","30","12","2","0","0","1","0","0","0","0","0","1","2","1","1","2","0","0","1","0","1","0","0","0","0","18","1","0","0","0","0","0","0","0","1","2","1","1","1","2","4","1","0","1","0","1","1","0","1"
"1000000US550250002011006","Block 1006, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","35","15","2","0","0","0","0","0","0","0","1","2","3","0","2","1","1","0","1","0","0","0","1","1","0","20","3","0","0","1","0","0","0","0","1","4","4","1","2","0","2","0","1","0","0","0","0","1","0"
"1000000US550250002011007","Block 1007, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","20","12","0","0","0","0","0","0","0","0","3","0","2","1","0","3","1","1","1","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","1","1","0","0","1","2","1","0","0","0","1","0","0","0","0"
"1000000US550250002011008","Block 1008, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","30","13","2","0","0","0","0","0","0","1","0","0","1","0","2","3","1","0","0","1","1","0","0","0","1","17","0","0","0","2","0","0","0","0","1","1","1","1","2","5","2","0","0","1","0","0","1","0","0"
"1000000US550250002011009","Block 1009, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","11","6","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","0","5","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"1000000US550250002011010","Block 1010, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","21","12","0","0","0","0","0","0","0","0","5","0","0","2","0","0","1","1","2","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","1","1","1","0","0","0","2","0","3","0","0","0","0","0","1"
"1000000US550250002011011","Block 1011, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","35","18","3","2","0","0","0","0","0","0","2","2","2","1","3","0","1","0","0","0","0","0","2","0","0","17","3","0","0","0","0","0","0","0","2","2","2","2","2","0","1","0","1","0","0","0","1","1","0"
"1000000US550250002011012","Block 1012, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","36","16","0","1","1","0","0","0","0","0","0","2","1","0","0","1","5","0","0","1","2","0","0","1","1","20","0","1","1","0","0","0","0","0","1","1","1","1","0","2","5","1","2","0","1","0","2","0","1"
"1000000US550250002011013","Block 1013, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","29","13","0","1","0","0","0","0","0","0","2","0","0","3","1","0","2","1","0","0","0","1","0","1","1","16","0","0","2","0","0","0","0","0","1","0","1","2","1","1","0","1","2","2","1","0","0","0","2"
"1000000US550250002011014","Block 1014, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250002011015","Block 1015, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","28","15","4","1","0","0","0","0","0","0","0","1","2","2","1","0","1","0","0","2","0","0","0","0","1","13","2","0","0","0","1","0","0","0","1","2","1","0","0","0","3","0","1","2","0","0","0","0","0"
"1000000US550250002011016","Block 1016, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","99","44","2","3","1","2","0","0","0","0","2","3","1","2","5","6","5","1","2","1","2","0","1","4","1","55","2","2","3","2","0","0","0","1","4","2","3","6","9","4","5","1","2","0","2","2","1","3","1"
"1000000US550250002011017","Block 1017, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","43","20","0","0","0","0","0","0","0","1","2","1","0","0","0","3","2","2","0","2","2","1","1","0","3","23","2","0","0","2","1","1","0","0","2","1","0","0","0","0","5","3","0","2","1","1","0","1","1"
"1000000US550250002011018","Block 1018, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","36","16","1","0","0","0","0","0","0","0","2","1","2","2","0","1","0","0","0","0","0","1","1","4","1","20","2","0","0","0","0","0","0","0","2","0","3","1","0","2","1","0","0","0","2","2","1","1","3"
"1000000US550250002011019","Block 1019, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","12","6","0","0","0","1","0","0","0","1","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0"
"1000000US550250002011020","Block 1020, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250002011021","Block 1021, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","25","11","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0","2","2","0","14","1","0","0","0","0","0","0","0","0","0","1","1","2","1","2","1","1","0","0","0","3","0","1"
"1000000US550250002011022","Block 1022, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","37","20","1","3","3","1","0","0","0","0","0","1","0","2","3","1","1","0","0","0","0","3","1","0","0","17","1","0","1","1","0","0","0","0","0","1","0","4","1","1","2","0","0","0","1","3","0","1","0"
"1000000US550250002011023","Block 1023, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","28","14","2","0","0","0","0","0","0","2","0","2","1","0","0","2","1","1","0","0","0","1","1","1","0","14","0","0","0","0","0","0","0","1","0","3","0","0","1","0","4","0","0","0","0","1","2","2","0"
"1000000US550250002011024","Block 1024, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","32","13","0","0","0","0","0","0","0","0","1","2","1","1","1","1","4","1","0","1","0","0","0","0","0","19","0","1","0","0","0","0","0","0","2","4","0","1","1","2","2","2","1","1","0","1","0","1","0"
"1000000US550250002011025","Block 1025, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","23","13","1","1","0","0","0","0","0","0","1","1","1","0","1","2","0","0","1","0","2","1","0","0","1","10","1","0","0","0","0","0","0","0","0","3","1","0","0","0","2","0","1","0","1","0","0","1","0"
"1000000US550250002011026","Block 1026, Block Group 1, Census Tract 2.01, Dane County, Wisconsin","57","30","1","0","2","1","0","0","0","1","4","2","0","2","1","0","5","1","3","1","1","3","0","1","1","27","0","0","0","0","0","0","0","0","2","0","2","1","0","3","7","1","3","2","1","1","0","4","0"
